Breed,Age (Years),Weight (kg),Color,Gender,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking
shih tzu,13,37,Tan,Female,10,18,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,5,5,1,4,1,1,3,3,3,4,3,3
yorkshire terrier,8,37,Brown,Male,11,15,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,5,3,1,5,1,1,5,4,5,4,4,4
boxer,12,55,Bicolor,Male,10,12,25.0,25.0,80.0,65.0,23.0,23.0,65.0,50.0,5,3,2,2,3,1,4,4,4,4,4,3
boston terrier,8,59,Black,Male,11,13,17.0,17.0,25.0,25.0,15.0,15.0,12.0,12.0,5,4,2,2,1,1,5,5,3,4,4,2
chinese shar-pei,4,54,Tan,Female,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3
pug,5,30,Brown,Female,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1
chinese shar-pei,10,14,Tan,Female,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3
australian shepherd,10,49,Merle,Female,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
labrador retriever,5,28,White,Female,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3
maltese,3,39,Merle,Male,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
rottweiler,1,25,Spotted,Male,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
chinese shar-pei,1,10,Cream,Female,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3
pekingese,11,25,Brindle,Female,12,14,9.0,9.0,14.0,14.0,6.0,6.0,7.0,7.0,3,3,3,3,1,1,3,4,4,3,3,1
cocker spaniel,8,11,White,Female,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
cocker spaniel,7,13,Tricolor,Male,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
chihuahua,3,5,Red,Female,14,16,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,1,3,2,1,1,2,2,4,4,3,4,5
bull terrier,11,49,Brindle,Male,12,13,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,3,1,3,2,1,1,4,4,3,3,4,3
shiba inu,12,30,Merle,Female,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
boxer,11,12,Merle,Male,10,12,25.0,25.0,80.0,65.0,23.0,23.0,65.0,50.0,5,3,2,2,3,1,4,4,4,4,4,3
shiba inu,13,14,Brown,Female,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
dachshund,9,34,Bicolor,Female,12,16,9.0,9.0,32.0,32.0,8.0,8.0,16.0,16.0,3,4,2,2,2,2,4,4,4,4,3,5
papillon,9,10,Red,Male,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
havanese,3,41,Black and Tan,Male,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
pembroke welsh corgi,11,44,White,Male,12,13,12.0,12.0,31.0,28.0,10.0,10.0,24.0,24.0,3,4,4,2,1,1,4,4,5,4,4,4
whippet,13,24,Bicolor,Male,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
great dane,3,52,Tan,Female,7,10,32.0,32.0,175.0,140.0,30.0,30.0,140.0,110.0,3,3,3,1,4,1,3,4,5,3,4,3
akita,12,27,Merle,Female,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
labrador retriever,8,8,Sable,Female,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3
labrador retriever,7,12,Gray,Female,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3
bloodhound,2,23,Cream,Male,10,12,27.0,27.0,110.0,100.0,25.0,25.0,90.0,80.0,3,3,3,2,5,1,3,3,2,4,3,5
basenji,6,27,Black,Female,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
papillon,7,27,Black and White,Female,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
doberman pinscher,10,26,Spotted,Female,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
australian shepherd,13,51,Brown,Male,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
belgian malinois,4,39,Brindle,Female,14,16,26.0,26.0,80.0,60.0,24.0,24.0,60.0,40.0,3,3,3,2,1,1,3,3,4,5,4,3
west highland white terrier,10,39,Bicolor,Male,13,15,11.0,11.0,20.0,20.0,11.0,11.0,15.0,15.0,5,3,3,3,1,1,4,5,5,3,4,5
bull terrier,3,18,Gray,Female,12,13,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,3,1,3,2,1,1,4,4,3,3,4,3
belgian malinois,2,38,Black,Male,14,16,26.0,26.0,80.0,60.0,24.0,24.0,60.0,40.0,3,3,3,2,1,1,3,3,4,5,4,3
bloodhound,1,18,Sable,Male,10,12,27.0,27.0,110.0,100.0,25.0,25.0,90.0,80.0,3,3,3,2,5,1,3,3,2,4,3,5
pembroke welsh corgi,3,15,Black and Tan,Male,12,13,12.0,12.0,31.0,28.0,10.0,10.0,24.0,24.0,3,4,4,2,1,1,4,4,5,4,4,4
irish setter,14,28,Red,Female,12,15,27.0,27.0,70.0,60.0,27.0,27.0,70.0,60.0,5,5,3,3,2,1,5,5,3,4,5,3
bichon frise,4,32,Tan,Male,14,15,11.5,11.5,18.0,18.0,9.5,9.5,12.0,12.0,5,5,1,5,1,1,5,4,2,4,4,3
labrador retriever,8,50,Brown,Female,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3
chihuahua,6,26,Spotted,Female,14,16,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,1,3,2,1,1,2,2,4,4,3,4,5
siberian husky,11,23,Brown,Female,12,14,23.5,23.5,60.0,50.0,21.0,21.0,45.0,35.0,5,5,4,2,1,1,5,5,1,3,5,5
west highland white terrier,11,32,White,Female,13,15,11.0,11.0,20.0,20.0,11.0,11.0,15.0,15.0,5,3,3,3,1,1,4,5,5,3,4,5
boston terrier,3,31,Black and White,Male,11,13,17.0,17.0,25.0,25.0,15.0,15.0,12.0,12.0,5,4,2,2,1,1,5,5,3,4,4,2
pembroke welsh corgi,7,28,Black,Male,12,13,12.0,12.0,31.0,28.0,10.0,10.0,24.0,24.0,3,4,4,2,1,1,4,4,5,4,4,4
beagle,11,18,Tricolor,Male,10,15,16.0,15.0,20.0,30.0,14.0,13.0,15.0,20.0,5,5,3,2,1,1,3,4,2,3,4,4
papillon,10,40,Black,Female,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
french bulldog,11,15,Spotted,Male,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
siberian husky,1,40,Blue,Male,12,14,23.5,23.5,60.0,50.0,21.0,21.0,45.0,35.0,5,5,4,2,1,1,5,5,1,3,5,5
papillon,4,42,White,Female,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
basenji,4,27,Bicolor,Female,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
chihuahua,2,38,Spotted,Female,14,16,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,1,3,2,1,1,2,2,4,4,3,4,5
australian shepherd,12,23,Black and Tan,Female,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
boston terrier,4,5,Brown,Male,11,13,17.0,17.0,25.0,25.0,15.0,15.0,12.0,12.0,5,4,2,2,1,1,5,5,3,4,4,2
havanese,4,49,Red,Female,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
australian shepherd,10,35,Sable,Male,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
shih tzu,10,50,Black,Male,10,18,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,5,5,1,4,1,1,3,3,3,4,3,3
shetland sheepdog,6,26,Blue,Male,12,14,16.0,16.0,25.0,25.0,13.0,13.0,15.0,15.0,5,5,3,3,1,1,2,5,5,5,4,5
rottweiler,9,21,White,Male,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
belgian malinois,10,17,Bicolor,Male,14,16,26.0,26.0,80.0,60.0,24.0,24.0,60.0,40.0,3,3,3,2,1,1,3,3,4,5,4,3
labrador retriever,6,31,Sable,Male,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3
cavalier king charles spaniel,5,36,Gray,Female,12,15,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,5,5,2,2,2,1,4,3,3,4,3,3
labrador retriever,6,49,Merle,Female,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3
rottweiler,1,54,Blue,Male,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
whippet,4,48,Blue,Male,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
akita,7,5,Merle,Female,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
pekingese,7,59,Tan,Female,12,14,9.0,9.0,14.0,14.0,6.0,6.0,7.0,7.0,3,3,3,3,1,1,3,4,4,3,3,1
french bulldog,4,25,Black and Tan,Male,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
akita,5,33,Sable,Male,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
west highland white terrier,6,43,Brown,Male,13,15,11.0,11.0,20.0,20.0,11.0,11.0,15.0,15.0,5,3,3,3,1,1,4,5,5,3,4,5
shih tzu,9,41,Tricolor,Male,10,18,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,5,5,1,4,1,1,3,3,3,4,3,3
bull terrier,3,38,Cream,Male,12,13,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,3,1,3,2,1,1,4,4,3,3,4,3
shetland sheepdog,10,40,Blue,Male,12,14,16.0,16.0,25.0,25.0,13.0,13.0,15.0,15.0,5,5,3,3,1,1,2,5,5,5,4,5
boxer,4,46,Black and White,Male,10,12,25.0,25.0,80.0,65.0,23.0,23.0,65.0,50.0,5,3,2,2,3,1,4,4,4,4,4,3
labrador retriever,3,59,Blue,Female,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3
dachshund,10,31,Tricolor,Female,12,16,9.0,9.0,32.0,32.0,8.0,8.0,16.0,16.0,3,4,2,2,2,2,4,4,4,4,3,5
whippet,14,51,Brindle,Male,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
alaskan malamute,2,23,Blue,Male,10,14,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,3,3,3,3,1,1,3,3,4,5,4,3
havanese,2,29,White,Male,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
golden retriever,11,29,Merle,Female,10,12,24.0,24.0,75.0,65.0,23.0,23.0,65.0,55.0,5,5,4,2,2,1,5,4,3,5,3,1
akita,9,19,Red,Female,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
cavalier king charles spaniel,11,55,Cream,Female,12,15,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,5,5,2,2,2,1,4,3,3,4,3,3
french bulldog,7,46,Gray,Female,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
irish setter,4,7,Brown,Male,12,15,27.0,27.0,70.0,60.0,27.0,27.0,70.0,60.0,5,5,3,3,2,1,5,5,3,4,5,3
boston terrier,13,54,Black,Female,11,13,17.0,17.0,25.0,25.0,15.0,15.0,12.0,12.0,5,4,2,2,1,1,5,5,3,4,4,2
doberman pinscher,3,34,Black and White,Female,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
whippet,3,6,Red,Male,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
bichon frise,5,26,White,Male,14,15,11.5,11.5,18.0,18.0,9.5,9.5,12.0,12.0,5,5,1,5,1,1,5,4,2,4,4,3
chihuahua,11,59,Bicolor,Female,14,16,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,1,3,2,1,1,2,2,4,4,3,4,5
belgian malinois,8,22,Black,Male,14,16,26.0,26.0,80.0,60.0,24.0,24.0,60.0,40.0,3,3,3,2,1,1,3,3,4,5,4,3
dachshund,5,27,White,Male,12,16,9.0,9.0,32.0,32.0,8.0,8.0,16.0,16.0,3,4,2,2,2,2,4,4,4,4,3,5
pomeranian,5,20,White,Female,12,16,7.0,7.0,7.0,7.0,6.0,6.0,3.0,3.0,3,3,2,3,1,1,3,3,4,3,3,4
alaskan malamute,10,55,Brown,Male,10,14,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,3,3,3,3,1,1,3,3,4,5,4,3
basenji,12,23,Tricolor,Female,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
pembroke welsh corgi,13,16,Black and Tan,Male,12,13,12.0,12.0,31.0,28.0,10.0,10.0,24.0,24.0,3,4,4,2,1,1,4,4,5,4,4,4
golden retriever,2,59,Black and Tan,Male,10,12,24.0,24.0,75.0,65.0,23.0,23.0,65.0,55.0,5,5,4,2,2,1,5,4,3,5,3,1
chinese shar-pei,6,29,White,Female,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3
pug,4,10,White,Female,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1
shiba inu,8,48,Brindle,Male,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
labrador retriever,5,11,Brindle,Male,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3
bloodhound,14,46,Brindle,Male,10,12,27.0,27.0,110.0,100.0,25.0,25.0,90.0,80.0,3,3,3,2,5,1,3,3,2,4,3,5
cocker spaniel,11,48,Red,Male,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
irish setter,3,52,Blue,Female,12,15,27.0,27.0,70.0,60.0,27.0,27.0,70.0,60.0,5,5,3,3,2,1,5,5,3,4,5,3
west highland white terrier,12,17,Merle,Male,13,15,11.0,11.0,20.0,20.0,11.0,11.0,15.0,15.0,5,3,3,3,1,1,4,5,5,3,4,5
chinese shar-pei,1,17,Black and White,Male,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3
basenji,12,50,Cream,Male,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
shih tzu,10,42,Red,Female,10,18,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,5,5,1,4,1,1,3,3,3,4,3,3
cavalier king charles spaniel,3,23,Sable,Male,12,15,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,5,5,2,2,2,1,4,3,3,4,3,3
maltese,14,14,Blue,Female,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
golden retriever,14,13,Tricolor,Male,10,12,24.0,24.0,75.0,65.0,23.0,23.0,65.0,55.0,5,5,4,2,2,1,5,4,3,5,3,1
french bulldog,3,58,Red,Male,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
cavalier king charles spaniel,13,45,Black and White,Male,12,15,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,5,5,2,2,2,1,4,3,3,4,3,3
akita,10,13,Brindle,Male,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
alaskan malamute,7,5,Spotted,Female,10,14,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,3,3,3,3,1,1,3,3,4,5,4,3
shih tzu,9,37,Cream,Female,10,18,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,5,5,1,4,1,1,3,3,3,4,3,3
basenji,2,57,Black,Female,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
yorkshire terrier,2,25,Merle,Female,11,15,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,5,3,1,5,1,1,5,4,5,4,4,4
cocker spaniel,2,58,Blue,Male,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
yorkshire terrier,2,20,Sable,Male,11,15,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,5,3,1,5,1,1,5,4,5,4,4,4
border collie,8,28,Black and White,Male,12,15,22.0,22.0,55.0,55.0,19.0,19.0,30.0,30.0,3,3,3,3,1,1,4,5,3,5,5,4
golden retriever,1,59,Tricolor,Male,10,12,24.0,24.0,75.0,65.0,23.0,23.0,65.0,55.0,5,5,4,2,2,1,5,4,3,5,3,1
papillon,7,49,Bicolor,Female,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
french bulldog,12,22,Spotted,Male,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
chihuahua,10,14,Sable,Female,14,16,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,1,3,2,1,1,2,2,4,4,3,4,5
shiba inu,13,50,Merle,Female,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
french bulldog,14,37,Black and White,Female,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
samoyed,6,46,Merle,Female,12,14,23.5,23.5,65.0,50.0,21.0,21.0,45.0,35.0,5,3,3,3,1,1,5,5,4,4,4,5
pembroke welsh corgi,7,11,Blue,Female,12,13,12.0,12.0,31.0,28.0,10.0,10.0,24.0,24.0,3,4,4,2,1,1,4,4,5,4,4,4
pomeranian,9,32,White,Male,12,16,7.0,7.0,7.0,7.0,6.0,6.0,3.0,3.0,3,3,2,3,1,1,3,3,4,3,3,4
shih tzu,14,40,Brown,Female,10,18,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,5,5,1,4,1,1,3,3,3,4,3,3
samoyed,2,24,Gray,Male,12,14,23.5,23.5,65.0,50.0,21.0,21.0,45.0,35.0,5,3,3,3,1,1,5,5,4,4,4,5
pembroke welsh corgi,5,43,Tan,Female,12,13,12.0,12.0,31.0,28.0,10.0,10.0,24.0,24.0,3,4,4,2,1,1,4,4,5,4,4,4
pug,6,6,Black and Tan,Male,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1
maltese,14,38,Gray,Female,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
pekingese,13,42,Black and White,Female,12,14,9.0,9.0,14.0,14.0,6.0,6.0,7.0,7.0,3,3,3,3,1,1,3,4,4,3,3,1
shetland sheepdog,10,38,Cream,Female,12,14,16.0,16.0,25.0,25.0,13.0,13.0,15.0,15.0,5,5,3,3,1,1,2,5,5,5,4,5
irish setter,13,38,Brindle,Male,12,15,27.0,27.0,70.0,60.0,27.0,27.0,70.0,60.0,5,5,3,3,2,1,5,5,3,4,5,3
bernese mountain dog,1,8,Tricolor,Female,7,10,27.5,27.5,115.0,95.0,25.0,25.0,80.0,70.0,5,5,5,3,3,1,4,4,3,4,4,3
pug,6,27,Gray,Male,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1
cocker spaniel,10,55,Bicolor,Female,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
basenji,2,8,Bicolor,Female,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
shiba inu,4,18,Black,Male,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
beagle,11,20,Brindle,Female,10,15,16.0,15.0,20.0,30.0,14.0,13.0,15.0,20.0,5,5,3,2,1,1,3,4,2,3,4,4
shetland sheepdog,7,48,Brown,Female,12,14,16.0,16.0,25.0,25.0,13.0,13.0,15.0,15.0,5,5,3,3,1,1,2,5,5,5,4,5
shih tzu,1,35,White,Female,10,18,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,5,5,1,4,1,1,3,3,3,4,3,3
rottweiler,8,46,White,Male,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
maltese,12,33,Spotted,Male,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
australian shepherd,7,14,Red,Female,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
belgian malinois,12,16,Spotted,Male,14,16,26.0,26.0,80.0,60.0,24.0,24.0,60.0,40.0,3,3,3,2,1,1,3,3,4,5,4,3
basenji,10,53,Merle,Female,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
australian shepherd,3,14,Black,Female,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
pembroke welsh corgi,4,37,Brindle,Male,12,13,12.0,12.0,31.0,28.0,10.0,10.0,24.0,24.0,3,4,4,2,1,1,4,4,5,4,4,4
